,WNSynsetID,BNSynsetType,BNSynsetID,BNLemma,BNLanguage
0,wn:00001740a,Concept,bn:00096151a,able;,EN
1,wn:00001740a,Concept,bn:00096151a,staat_om;,AF
2,wn:00001740a,Concept,bn:00096151a,gjendje;,SQ
3,wn:00001740a,Concept,bn:00096151a,قادِر;قادرة;,AR
4,wn:00001740a,Concept,bn:00096151a,състояние;,BG
5,wn:00001740a,Concept,bn:00096151a,capaç;competent;apte;,CA
6,wn:00001740a,Concept,bn:00096151a,有能力;可以;有能力+的;能;可以+的;能_够;,ZH
7,wn:00001740a,Concept,bn:00096151a,mogućnosti;sposoban;umješan;kadar;,HR
8,wn:00001740a,Concept,bn:00096151a,stand;,DA
9,wn:00001740a,Concept,bn:00096151a,staat;,NL
